NAME,CITY,STATE,NAICS_DESC
BLUE RIDGE COMMUNITY COLLEGE,FLAT ROCK,NC,JUNIOR COLLEGES
THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT LOS ANGELES,LOS ANGELES,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PAUL MITCHELL THE SCHOOL-PASADENA,PASADENA,CA,COSMETOLOGY AND BARBER SCHOOLS
CARRINGTON COLLEGE-POMONA,POMONA,CA,JUNIOR COLLEGES
INSTITUTE OF WORLD POLITICS,WASHINGTON,DC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ALASKA CHRISTIAN COLLEGE,SOLDOTNA,AK,OTHER TECHNICAL AND TRADE SCHOOLS
CORTIVA INSTITUTE-NEW JERSEY,WALL,NJ,OTHER TECHNICAL AND TRADE SCHOOLS
ANGELINA COLLEGE,LUFKIN,TX,JUNIOR COLLEGES
PENINSULA COLLEGE,PORT ANGELES,WA,JUNIOR COLLEGES
TRICOCI UNIVERSITY OF BEAUTY CULTURE-BRIDGEVIEW,BRIDGEVIEW,IL,COSMETOLOGY AND BARBER SCHOOLS
METRO BUSINESS COLLEGE-JEFFERSON CITY,JEFFERSON CITY,MO,JUNIOR COLLEGES
HIBBING COMMUNITY COLLEGE,HIBBING,MN,JUNIOR COLLEGES
BENE'S CAREER ACADEMY,NEW PORT RICHEY,FL,COSMETOLOGY AND BARBER SCHOOLS
NORTH CENTRAL KANSAS TECHNICAL COLLEGE,BELOIT,KS,JUNIOR COLLEGES
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,EDUCATIONAL SUPPORT SERVICES
AVEDA INSTITUTE-MINNEAPOLIS,MINNEAPOLIS,MN,COSMETOLOGY AND BARBER SCHOOLS
RABBINICAL COLLEGE BOBOVER YESHIVA BNEI ZION,BROOKLYN,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
RABBINICAL SEMINARY OF AMERICA,FLUSHING,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BOSTON COLLEGE,CHESTNUT HILL,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BALDWIN BEAUTY SCHOOL-SOUTH AUSTIN,AUSTIN,TX,COSMETOLOGY AND BARBER SCHOOLS
NORTH-WEST COLLEGE-GLENDALE,GLENDALE,CA,OTHER TECHNICAL AND TRADE SCHOOLS
MT. DIABLO ADULT EDUCATION-MT. DIABLO USD,CONCORD,CA,OTHER TECHNICAL AND TRADE SCHOOLS
ARIZONA STATE UNIVERSITY-TEMPE,TEMPE,AZ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
AIMS COMMUNITY COLLEGE,GREELEY,CO,JUNIOR COLLEGES
COCONINO COMMUNITY COLLEGE,FLAGSTAFF,AZ,JUNIOR COLLEGES
COMMUNITY COLLEGE OF PHILADELPHIA,PHILADELPHIA,PA,JUNIOR COLLEGES
LANDER UNIVERSITY,GREENWOOD,SC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CLOUD COUNTY COMMUNITY COLLEGE,CONCORDIA,KS,JUNIOR COLLEGES
SPARTANBURG METHODIST COLLEGE,SPARTANBURG,SC,JUNIOR COLLEGES
NORTHERN NEW MEXICO COLLEGE,ESPANOLA,NM,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NEILSON BEAUTY COLLEGE,DALLAS,TX,COSMETOLOGY AND BARBER SCHOOLS
DICKINSON COLLEGE,CARLISLE,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHWEST TECHNOLOGY CENTER,ALTUS,OK,OTHER TECHNICAL AND TRADE SCHOOLS
CLEVELAND STATE COMMUNITY COLLEGE,CLEVELAND,TN,JUNIOR COLLEGES
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-MCKENZIE,MCKENZIE,TN,OTHER TECHNICAL AND TRADE SCHOOLS
FRANKLIN ACADEMY,CLEVELAND,TN,OTHER TECHNICAL AND TRADE SCHOOLS
CLARY SAGE COLLEGE,TULSA,OK,JUNIOR COLLEGES
BROWN AVEDA INSTITUTE-STRONGSVILLE,STRONGSVILLE,OH,COSMETOLOGY AND BARBER SCHOOLS
REMINGTON COLLEGE-HOUSTON SOUTHEAST CAMPUS,WEBSTER,TX,JUNIOR COLLEGES
THE CREATIVE CIRCUS,ATLANTA,GA,OTHER TECHNICAL AND TRADE SCHOOLS
FEATHER RIVER COMMUNITY COLLEGE DISTRICT,QUINCY,CA,JUNIOR COLLEGES
THE UNIVERSITY OF TENNESSEE-KNOXVILLE,KNOXVILLE,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-DAYTONA BEACH,DAYTONA BEACH,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FORT PIERCE BEAUTY ACADEMY,FORT PIERCE,FL,COSMETOLOGY AND BARBER SCHOOLS
BARRETT AND COMPANY SCHOOL OF HAIR DESIGN,NICHOLASVILLE,KY,COSMETOLOGY AND BARBER SCHOOLS
MADISONVILLE COMMUNITY COLLEGE,MADISONVILLE,KY,JUNIOR COLLEGES
MURRAY STATE UNIVERSITY,MURRAY,KY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MIAMI AD SCHOOL-ATLANTA,ATLANTA,GA,OTHER TECHNICAL AND TRADE SCHOOLS
LEEWARD COMMUNITY COLLEGE,PEARL CITY,HI,JUNIOR COLLEGES
TRICOCI UNIVERSITY OF BEAUTY CULTURE-HIGHLAND,HIGHLAND,IN,COSMETOLOGY AND BARBER SCHOOLS
CONCORDIA UNIVERSITY-NEBRASKA,SEWARD,NE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LE MOYNE COLLEGE,SYRACUSE,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ST. JOSEPH'S COLLEGE OF NURSING,SYRACUSE,NY,JUNIOR COLLEGES
SUNY COLLEGE OF TECHNOLOGY AT CANTON,CANTON,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NATIONAL BEAUTY COLLEGE,CANTON,OH,COSMETOLOGY AND BARBER SCHOOLS
PACIFIC NORTHWEST COLLEGE OF ART,PORTLAND,OR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EMPIRE BEAUTY SCHOOL-HARRISBURG,HARRISBURG,PA,COSMETOLOGY AND BARBER SCHOOLS
OREGON COLLEGE OF ORIENTAL MEDICINE,PORTLAND,OR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TAYLOR COLLEGE,BELLEVIEW,FL,JUNIOR COLLEGES
HAIR PROFESSIONALS SCHOOL OF COSMETOLOGY,OSWEGO,IL,COSMETOLOGY AND BARBER SCHOOLS
RUTGERS UNIVERSITY-CAMDEN,CAMDEN,NJ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
JOE KUBERT SCHOOL OF CARTOON AND GRAPHIC ART,DOVER,NJ,FINE ARTS SCHOOLS
MACHZIKEI HADATH RABBINICAL COLLEGE,BROOKLYN,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ITHACA COLLEGE,ITHACA,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MORRIS COLLEGE,SUMTER,SC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EDWARD WATERS COLLEGE,JACKSONVILLE,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHERN UNIVERSITY AT NEW ORLEANS,NEW ORLEANS,LA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTH CENTRAL LOUISIANA TECHNICAL COLLEGE,MORGAN CITY,LA,JUNIOR COLLEGES
ROB ROY ACADEMY-TAUNTON,TAUNTON,MA,COSMETOLOGY AND BARBER SCHOOLS
COVENANT THEOLOGICAL SEMINARY,SAINT LOUIS,MO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SALTER COLLEGE-WEST BOYLSTON,WEST BOYLSTON,MA,JUNIOR COLLEGES
MANHATTAN COLLEGE,RIVERDALE,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SCHENECTADY COUNTY COMMUNITY COLLEGE,SCHENECTADY,NY,JUNIOR COLLEGES
AUBURN UNIVERSITY,AUBURN,AL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
JUDSON COLLEGE,MARION,AL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NUNEZ COMMUNITY COLLEGE,CHALMETTE,LA,JUNIOR COLLEGES
SCHILLER INTERNATIONAL UNIVERSITY,LARGO,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GEORGIA PIEDMONT TECHNICAL COLLEGE,CLARKSTON,GA,JUNIOR COLLEGES
WARTBURG COLLEGE,WAVERLY,IA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CABELL COUNTY CAREER TECHNOLOGY CENTER,HUNTINGTON,WV,OTHER TECHNICAL AND TRADE SCHOOLS
PLATT COLLEGE-MILLER-MOTTE TECHNICAL-CHARLESTON,CHARLESTON,SC,JUNIOR COLLEGES
INSTITUTE OF TECHNOLOGY,SALEM,OR,OTHER TECHNICAL AND TRADE SCHOOLS
PACIFIC COLLEGE OF HEALTH SCIENCE-CHICAGO,CHICAGO,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
COLORADO MEDIA SCHOOL,LAKEWOOD,CO,OTHER TECHNICAL AND TRADE SCHOOLS
STELLAR CAREER COLLEGE,MODESTO,CA,BUSINESS AND SECRETARIAL SCHOOLS
STEVENS-HENAGER COLLEGE,LOGAN,UT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CARL ALBERT STATE COLLEGE,POTEAU,OK,JUNIOR COLLEGES
PENNSYLVANIA STATE UNIVERSITY-PENN STATE MONT ALTO,MONT ALTO,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CALIFORNIA STATE UNIVERSITY-FULLERTON,FULLERTON,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GREENVILLE UNIVERSITY,GREENVILLE,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CHOFFIN CAREER AND TECHNICAL CENTER,YOUNGSTOWN,OH,OTHER TECHNICAL AND TRADE SCHOOLS
PAUL MITCHELL THE SCHOOL-HOUSTON,HOUSTON,TX,COSMETOLOGY AND BARBER SCHOOLS
AVALON SCHOOL OF COSMETOLOGY-AURORA,AURORA,CO,COSMETOLOGY AND BARBER SCHOOLS
ALLIANCE CAREER CENTER,ALLIANCE,OH,OTHER TECHNICAL AND TRADE SCHOOLS
OHIO STATE SCHOOL OF COSMETOLOGY,MARION,OH,COSMETOLOGY AND BARBER SCHOOLS
BEAUMONT ADULT SCHOOL,BEAUMONT,CA,OTHER TECHNICAL AND TRADE SCHOOLS
AMERICAN BAPTIST SEMINARY OF THE WEST,BERKELEY,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
INTERNATIONAL SCHOOL OF BEAUTY INC,PALM DESERT,CA,COSMETOLOGY AND BARBER SCHOOLS
LIFE UNIVERSITY,MARIETTA,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WESTERN IOWA TECH COMMUNITY COLLEGE,SIOUX CITY,IA,JUNIOR COLLEGES
LEWIS-CLARK STATE COLLEGE,LEWISTON,ID,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GLENVILLE STATE COLLEGE,GLENVILLE,WV,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHERN UNIVERSITY-BOARD AND SYSTEM,BATON ROUGE,LA,EDUCATIONAL SUPPORT SERVICES
LAKE CAREER AND TECHNICAL CENTER,CAMDENTON,MO,OTHER TECHNICAL AND TRADE SCHOOLS
LOS ANGELES SOUTHWEST COLLEGE,LOS ANGELES,CA,JUNIOR COLLEGES
GEORGE C WALLACE STATE COMMUNITY COLLEGE-SELMA,SELMA,AL,JUNIOR COLLEGES
WESTERN COLORADO UNIVERSITY,GUNNISON,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GORDON STATE COLLEGE,BARNESVILLE,GA,JUNIOR COLLEGES
TILLAMOOK BAY COMMUNITY COLLEGE,TILLAMOOK,OR,JUNIOR COLLEGES
SNOW COLLEGE,EPHRAIM,UT,JUNIOR COLLEGES
UNIVERSITY OF DENVER,DENVER,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BROOKHAVEN COLLEGE,FARMERS BRANCH,TX,JUNIOR COLLEGES
SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY,WAXAHACHIE,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
THE UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,GALVESTON,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WAUKESHA COUNTY TECHNICAL COLLEGE,PEWAUKEE,WI,JUNIOR COLLEGES
ROSS MEDICAL EDUCATION CENTER-ANN ARBOR,ANN ARBOR,MI,OTHER TECHNICAL AND TRADE SCHOOLS
TEXAS HEALTH AND SCIENCE UNIVERSITY,AUSTIN,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EMPIRE BEAUTY SCHOOL-FRAMINGHAM,FRAMINGHAM,MA,COSMETOLOGY AND BARBER SCHOOLS
AVE MARIA SCHOOL OF LAW,NAPLES,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DOANE UNIVERSITY-GRADUATE AND PROFESSIONAL STUDIES,LINCOLN,NE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHEASTERN INSTITUTE-CHARLOTTE,CHARLOTTE,NC,OTHER TECHNICAL AND TRADE SCHOOLS
SALON SUCCESS ACADEMY-RIVERSIDE,RIVERSIDE,CA,COSMETOLOGY AND BARBER SCHOOLS
PACIFIC STATES UNIVERSITY,LOS ANGELES,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
COLLEGEAMERICA-FORT COLLINS,FORT COLLINS,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CARNEGIE INSTITUTE,TROY,MI,OTHER TECHNICAL AND TRADE SCHOOLS
NEOSHO BEAUTY COLLEGE,NEOSHO,MO,COSMETOLOGY AND BARBER SCHOOLS
HIGHLANDS COLLEGE OF MONTANA TECH,BUTTE,MT,JUNIOR COLLEGES
CAPSTONE COLLEGE,PASADENA,CA,OTHER TECHNICAL AND TRADE SCHOOLS
BRIGHAM YOUNG UNIVERSITY-HAWAII,LAIE,HI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BLESSING RIEMAN COLLEGE OF NURSING AND HEALTH SCIENCES,QUINCY,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CHRISTIAN LIFE COLLEGE,MOUNT PROSPECT,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LINCOLN TECHNICAL INSTITUTE-UNION,UNION,NJ,OTHER TECHNICAL AND TRADE SCHOOLS
TAYLOR INSTITUTE OF COSMETOLOGY,KNOX,IN,COSMETOLOGY AND BARBER SCHOOLS
COLLEGE OF MOUNT SAINT VINCENT,BRONX,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PENNSYLVANIA INSTITUTE OF TECHNOLOGY,MEDIA,PA,JUNIOR COLLEGES
MISSIO THEOLOGICAL SEMINARY,PHILADELPHIA,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
HARCUM COLLEGE,BRYN MAWR,PA,JUNIOR COLLEGES
PENTECOSTAL THEOLOGICAL SEMINARY,CLEVELAND,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NORTHWEST UNIVERSITY,KIRKLAND,WA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PERRY TECHNICAL INSTITUTE,YAKIMA,WA,OTHER TECHNICAL AND TRADE SCHOOLS
MANHATTANVILLE COLLEGE,PURCHASE,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
COLLEGE UNBOUND,PROVIDENCE,RI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
VALLEY COLLEGE-CLEVELAND,CLEVELAND,OH,JUNIOR COLLEGES
TONI & GUY HAIRDRESSING ACADEMY-SHORELINE,SHORELINE,WA,COSMETOLOGY AND BARBER SCHOOLS
REFORMED UNIVERSITY,LAWRENCEVILLE,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PENNSYLVANIA COLLEGE OF HEALTH SCIENCES,LANCASTER,PA,JUNIOR COLLEGES
YESHIVA KOLLEL TIFERETH ELIZER,BROOKLYN,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TONI & GUY HAIRDRESSING ACADEMY-RIO RANCHO,RIO RANCHO,NM,COSMETOLOGY AND BARBER SCHOOLS
UNIVERSAL TECHNICAL INSTITUTE OF ARIZONA INC-MOTORCYCLE MECHANICS INSTITUTE DIVISION,PHOENIX,AZ,OTHER TECHNICAL AND TRADE SCHOOLS
CALIFORNIA BAPTIST UNIVERSITY,RIVERSIDE,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GLITZ SCHOOL OF COSMETOLOGY,LAS CRUCES,NM,COSMETOLOGY AND BARBER SCHOOLS
BNOS ZION OF BOBOV SEMINARY,BROOKLYN,NY,JUNIOR COLLEGES
GRANITE STATE COLLEGE,CONCORD,NH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ANOUSHEH SCHOOL OF HAIR,BINGHAMTON,NY,COSMETOLOGY AND BARBER SCHOOLS
UNIVERSITY AT BUFFALO,BUFFALO,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
THE UNIVERSITY OF TENNESSEE SYSTEM OFFICE,KNOXVILLE,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
IOWA LAKES COMMUNITY COLLEGE,ESTHERVILLE,IA,JUNIOR COLLEGES
CAREER QUEST LEARNING CENTER-BAY CITY BRANCH,BAY CITY,MI,JUNIOR COLLEGES
ROSS COLLEGE-SYLVANIA,SYLVANIA,OH,OTHER TECHNICAL AND TRADE SCHOOLS
COLORADO STATE UNIVERSITY-GLOBAL CAMPUS,AURORA,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NATIONAL AMERICAN UNIVERSITY-ELLSWORTH AFB EXTENSION,ELLSWORTH AIR FORCE BASE,SD,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CONWAY SCHOOL OF LANDSCAPE DESIGN,NORTHAMPTON,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BAIS BINYOMIN ACADEMY,MONSEY,NY,JUNIOR COLLEGES
GATEWAY COMMUNITY AND TECHNICAL COLLEGE,FLORENCE,KY,JUNIOR COLLEGES
CORTIVA INSTITUTE-FLORIDA,ST. PETERSBURG,FL,OTHER TECHNICAL AND TRADE SCHOOLS
NATURAL IMAGES BEAUTY COLLEGE,CLUTE,TX,OTHER TECHNICAL AND TRADE SCHOOLS
REGINA WEBB ACADEMY,BOWLING GREEN,KY,OTHER TECHNICAL AND TRADE SCHOOLS
PHIPPS ACADEMY OF BARBERING,RICHTON PARK,IL,COSMETOLOGY AND BARBER SCHOOLS
BOCA BEAUTY ACADEMY-PARKLAND,PARKLAND,FL,COSMETOLOGY AND BARBER SCHOOLS
THE COLLEGE OF HEALTH CARE PROFESSIONS-MCALLEN CAMPUS,MCALLEN,TX,JUNIOR COLLEGES
TRICOCI UNIVERSITY OF BEAUTY CUTURE LLC-BLOOMINGTON,BLOOMINGTON,IN,COSMETOLOGY AND BARBER SCHOOLS
AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,MIAMI,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
STEVENSON UNIVERSITY,STEVENSON,MD,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BAY STATE SCHOOL OF TECHNOLOGY,CANTON,MA,OTHER TECHNICAL AND TRADE SCHOOLS
PRINCETON THEOLOGICAL SEMINARY,PRINCETON,NJ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
AMERICAN TRADE SCHOOL,SAINT ANN,MO,OTHER TECHNICAL AND TRADE SCHOOLS
DORSEY SCHOOL OF BUSINESS-SAGINAW,SAGINAW,MI,BUSINESS AND SECRETARIAL SCHOOLS
JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ACADEMY OF ART UNIVERSITY,SAN FRANCISCO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
AMERICAN INSTITUTE-TOMS RIVER,TOMS RIVER,NJ,JUNIOR COLLEGES
EASTERN SHORE COMMUNITY COLLEGE,MELFA,VA,JUNIOR COLLEGES
UNIVERSITY OF BALTIMORE,BALTIMORE,MD,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FREDERICK COMMUNITY COLLEGE,FREDERICK,MD,JUNIOR COLLEGES
TOUGALOO COLLEGE,TOUGALOO,MS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,PEMBROKE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF NORTH FLORIDA,JACKSONVILLE,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ALBANY BOCES-ADULT PRACTICAL NURSING PROGRAM,ALBANY,NY,OTHER TECHNICAL AND TRADE SCHOOLS
PAUL MITCHELL THE SCHOOL-GASTONIA,GASTONIA,NC,COSMETOLOGY AND BARBER SCHOOLS
WAYNE COMMUNITY COLLEGE,GOLDSBORO,NC,JUNIOR COLLEGES
CONCORDE CAREER COLLEGE-MEMPHIS,MEMPHIS,TN,JUNIOR COLLEGES
HOUSATONIC COMMUNITY COLLEGE,BRIDGEPORT,CT,JUNIOR COLLEGES
MANHATTAN SCHOOL OF MUSIC,NEW YORK,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EUREKA COLLEGE,EUREKA,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WESTERN NEW ENGLAND UNIVERSITY,SPRINGFIELD,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PITC INSTITUTE,WYNCOTE,PA,OTHER TECHNICAL AND TRADE SCHOOLS
CARRINGTON COLLEGE-LAS VEGAS,LAS VEGAS,NV,JUNIOR COLLEGES
INTERNATIONAL ACADEMY OF STYLE,RENO,NV,COSMETOLOGY AND BARBER SCHOOLS
STRAYER UNIVERSITY-MISSISSIPPI,JACKSON,MS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PAUL MITCHELL THE SCHOOL-EAST BAY,PLEASANT HILL,CA,COSMETOLOGY AND BARBER SCHOOLS
ROSS MEDICAL EDUCATION CENTER-NILES,NILES,OH,OTHER TECHNICAL AND TRADE SCHOOLS
AVEDA INSTITUTE-PORTLAND,PORTLAND,OR,COSMETOLOGY AND BARBER SCHOOLS
NORTHERN VIRGINIA SCHOOL OF THERAPEUTIC MASSAGE,FALLS CHURCH,VA,OTHER TECHNICAL AND TRADE SCHOOLS
MARIAN HEALTH CAREERS CENTER-VAN NUYS CAMPUS,VAN NUYS,CA,OTHER TECHNICAL AND TRADE SCHOOLS
CHRISTINE VALMY INTERNATIONAL SCHOOL OF ESTHETICS & COSMETOLOGY,PINE BROOK,NJ,COSMETOLOGY AND BARBER SCHOOLS
TEXARKANA COLLEGE,TEXARKANA,TX,JUNIOR COLLEGES
BRAND COLLEGE,GLENDALE,CA,OTHER TECHNICAL AND TRADE SCHOOLS
HINTON BARBER AND BEAUTY COLLEGE,VALLEJO,CA,COSMETOLOGY AND BARBER SCHOOLS
LYNNES WELDING TRAINING,FARGO,ND,OTHER TECHNICAL AND TRADE SCHOOLS
SOUTHWESTERN OREGON COMMUNITY COLLEGE,COOS BAY,OR,JUNIOR COLLEGES
PAUL MITCHELL THE SCHOOL-GRAND RAPIDS,KENTWOOD,MI,COSMETOLOGY AND BARBER SCHOOLS
NEW YORK INSTITUTE OF BEAUTY,ISLANDIA,NY,COSMETOLOGY AND BARBER SCHOOLS
NATIONAL AMERICAN UNIVERSITY-INDIANAPOLIS,INDIANAPOLIS,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WILLIAM JEWELL COLLEGE,LIBERTY,MO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
YESHIVA SHOLOM SHACHNA,BROOKLYN,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FORTIS COLLEGE-CUYAHOGA FALLS,CUYAHOGA FALLS,OH,JUNIOR COLLEGES
UNITED EDUCATION INSTITUTE-CHULA VISTA,CHULA VISTA,CA,OTHER TECHNICAL AND TRADE SCHOOLS
BROWARD COLLEGE,FORT LAUDERDALE,FL,JUNIOR COLLEGES
NORTHWEST FLORIDA STATE COLLEGE,NICEVILLE,FL,JUNIOR COLLEGES
THEATRE OF ARTS,HOLLYWOOD,CA,JUNIOR COLLEGES
TREASURE COAST TECHNICAL COLLEGE,VERO BEACH,FL,OTHER TECHNICAL AND TRADE SCHOOLS
IOWA CENTRAL COMMUNITY COLLEGE,FORT DODGE,IA,JUNIOR COLLEGES
THE OHIO MEDIA SCHOOL-COLUMBUS,COLUMBUS,OH,OTHER TECHNICAL AND TRADE SCHOOLS
JEFFERSON COLLEGE,HILLSBORO,MO,JUNIOR COLLEGES
PENNSYLVANIA STATE UNIVERSITY-DICKINSON LAW,CARLISLE,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PENNSYLVANIA STATE UNIVERSITY-PENN STATE HARRISBURG,MIDDLETOWN,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
HOCKING COLLEGE,NELSONVILLE,OH,JUNIOR COLLEGES
OKLAHOMA CHRISTIAN UNIVERSITY,EDMOND,OK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CARRINGTON COLLEGE-TUCSON,TUCSON,AZ,JUNIOR COLLEGES
GEISINGER-LEWISTOWN HOSPITAL SCHOOL OF NURSING,LEWISTOWN,PA,OTHER TECHNICAL AND TRADE SCHOOLS
SIMMONS COLLEGE OF KENTUCKY,LOUISVILLE,KY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
