NAME,CITY,STATE,NAICS_DESC
THE HAIR ACADEMY,BISMARCK,ND,COSMETOLOGY AND BARBER SCHOOLS
THE UNIVERSITY OF MONTANA-WESTERN,DILLON,MT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF MASSACHUSETTS-BOSTON,BOSTON,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF NEBRASKA AT OMAHA,OMAHA,NE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNION COLLEGE,SCHENECTADY,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
VENUS BEAUTY ACADEMY,SHARON HILL,PA,COSMETOLOGY AND BARBER SCHOOLS
TRIANGLE TECH INC-ERIE,ERIE,PA,JUNIOR COLLEGES
STRAYER UNIVERSITY-FLORIDA,TAMPA,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CARRINGTON COLLEGE-RENO,RENO,NV,JUNIOR COLLEGES
BEYOND 21ST CENTURY BEAUTY ACADEMY,SANTA FE SPRINGS,CA,COSMETOLOGY AND BARBER SCHOOLS
CENTERPOINT MASSAGE & SHIATSU THERAPY SCHOOL & CLINIC,ST LOUIS PARK,MN,OTHER TECHNICAL AND TRADE SCHOOLS
NATIONAL CAREER INSTITUTE,EAST ORANGE,NJ,OTHER TECHNICAL AND TRADE SCHOOLS
SAE INSTITUTE OF TECHNOLOGY-NEW YORK,NEW YORK,NY,OTHER TECHNICAL AND TRADE SCHOOLS
SHEPHERDS THEOLOGICAL SEMINARY,CARY,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BEST CARE COLLEGE,EAST ORANGE,NJ,OTHER TECHNICAL AND TRADE SCHOOLS
ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE,AL,JUNIOR COLLEGES
DIABLO VALLEY COLLEGE,PLEASANT HILL,CA,JUNIOR COLLEGES
PAUL MITCHELL THE SCHOOL-CHARLESTON,NORTH CHARLESTON,SC,COSMETOLOGY AND BARBER SCHOOLS
MID MICHIGAN COLLEGE,HARRISON,MI,JUNIOR COLLEGES
DEVRY UNIVERSITY-OHIO,COLUMBUS,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DEVRY UNIVERSITY-TEXAS,IRVING,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
RICCI'S ACADEMY OF COSMETOLOGY,NEWTOWN,CT,COSMETOLOGY AND BARBER SCHOOLS
PAUL MITCHELL THE SCHOOL-FARMINGTON HILLS,FARMINGTON HILLS,MI,COSMETOLOGY AND BARBER SCHOOLS
UNIVERSITY OF PHOENIX-MICHIGAN,SOUTHFIELD,MI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF PHOENIX-PENNSYLVANIA,PHILADELPHIA,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EMPIRE BEAUTY SCHOOL-BUFFALO,CHEEKTOWAGA,NY,COSMETOLOGY AND BARBER SCHOOLS
FOUNTAIN OF YOUTH ACADEMY OF COSMETOLOGY,MARS,PA,COSMETOLOGY AND BARBER SCHOOLS
HULT INTERNATIONAL BUSINESS SCHOOL,CAMBRIDGE,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
HOMESTEAD SCHOOLS,TORRANCE,CA,OTHER TECHNICAL AND TRADE SCHOOLS
FORTIS INSTITUTE-BIRMINGHAM,BIRMINGHAM,AL,JUNIOR COLLEGES
PROTEGE ACADEMY,EAST LANSING,MI,COSMETOLOGY AND BARBER SCHOOLS
DEVRY UNIVERSITY-PENNSYLVANIA,FT. WASHINGTON,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
HIGH TECH HIGH GRADUATE SCHOOL OF EDUCATION,SAN DIEGO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
AVIATION INSTITUTE OF MAINTENANCE,FREEMONT,CA,OTHER TECHNICAL AND TRADE SCHOOLS
ASSOCIATED BARBER COLLEGE OF SAN DIEGO,SAN DIEGO,CA,COSMETOLOGY AND BARBER SCHOOLS
UEI COLLEGE-BAKERSFIELD,BAKERSFIELD,CA,OTHER TECHNICAL AND TRADE SCHOOLS
EASTERN COLLEGE OF HEALTH VOCATIONS-NEW ORLEANS,NEW ORLEANS,LA,OTHER TECHNICAL AND TRADE SCHOOLS
EASTERN FLORIDA STATE COLLEGE,COCOA,FL,JUNIOR COLLEGES
ST PETERSBURG COLLEGE,CLEARWATER,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BETH MEDRASH MEOR YITZCHOK,MONSEY,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LANIER TECHNICAL COLLEGE,GAINESVILLE,GA,JUNIOR COLLEGES
MEDINA COUNTY CAREER CENTER,MEDINA,OH,OTHER TECHNICAL AND TRADE SCHOOLS
MOUNT VERNON NAZARENE UNIVERSITY,MOUNT VERNON,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
QUINCY COLLEGE,QUINCY,MA,JUNIOR COLLEGES
MONROE COUNTY COMMUNITY COLLEGE,MONROE,MI,JUNIOR COLLEGES
CHAMBERLAIN UNIVERSITY-OHIO,COLUMBUS,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SUNY COLLEGE AT POTSDAM,POTSDAM,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF HOUSTON-VICTORIA,VICTORIA,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LENOIR COMMUNITY COLLEGE,KINSTON,NC,JUNIOR COLLEGES
CONTINENTAL SCHOOL OF BEAUTY CULTURE-MATTYDALE,MATTYDALE,NY,COSMETOLOGY AND BARBER SCHOOLS
NEW ENGLAND COLLEGE OF BUSINESS AND FINANCE,BOSTON,MA,JUNIOR COLLEGES
PAUL MITCHELL THE SCHOOL-COLORADO SPRINGS,COLORADO SPRINGS,CO,COSMETOLOGY AND BARBER SCHOOLS
GRACE COLLEGE OF DIVINITY,FAYETTEVILLE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TACOMA COMMUNITY COLLEGE,TACOMA,WA,JUNIOR COLLEGES
QUINCY UNIVERSITY,QUINCY,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DE ANZA COLLEGE,CUPERTINO,CA,JUNIOR COLLEGES
METROPOLITAN STATE UNIVERSITY,SAINT PAUL,MN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WASHBURN UNIVERSITY,TOPEKA,KS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
THE ART INSTITUTE OF CINCINNATI-AIC COLLEGE OF DESIGN,CINCINNATI,OH,JUNIOR COLLEGES
JOHNSON UNIVERSITY,KNOXVILLE,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TEXAS WOMAN'S UNIVERSITY,DENTON,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PENNSYLVANIA STATE UNIVERSITY-PENN STATE WILKES-BARRE,LEHMAN,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SAINT JOSEPH'S UNIVERSITY,PHILADELPHIA,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SCHUYLKILL TECHNOLOGY CENTER,FRACKVILLE,PA,OTHER TECHNICAL AND TRADE SCHOOLS
UNIVERSITY OF SOUTH CAROLINA-COLUMBIA,COLUMBIA,SC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
IMMACULATA UNIVERSITY,IMMACULATA,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
KEYSTONE COLLEGE,LA PLUME,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DEL MAR COLLEGE,CORPUS CHRISTI,TX,JUNIOR COLLEGES
MOORE NORMAN TECHNOLOGY CENTER,NORMAN,OK,OTHER TECHNICAL AND TRADE SCHOOLS
BRYANT & STRATTON COLLEGE-CLEVELAND,CLEVELAND,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF MOUNT UNION,ALLIANCE,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TENNESSEE TECHNOLOGICAL UNIVERSITY,COOKEVILLE,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
HOLMES COMMUNITY COLLEGE,GOODMAN,MS,JUNIOR COLLEGES
BRYN MAWR COLLEGE,BRYN MAWR,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
URBANA UNIVERSITY,URBANA,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF WISCONSIN-STOUT,MENOMONIE,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CALIFORNIA UNIVERSITY OF PENNSYLVANIA,CALIFORNIA,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MITCHELL TECHNICAL INSTITUTE,MITCHELL,SD,JUNIOR COLLEGES
DYERSBURG STATE COMMUNITY COLLEGE,DYERSBURG,TN,JUNIOR COLLEGES
HOUSTON COMMUNITY COLLEGE,HOUSTON,TX,JUNIOR COLLEGES
SOLANO COMMUNITY COLLEGE,FAIRFIELD,CA,JUNIOR COLLEGES
NATIONAL POLYTECHNIC COLLEGE,LAKEWOOD,CA,OTHER TECHNICAL AND TRADE SCHOOLS
COASTLINE BEAUTY COLLEGE,FOUNTAIN VALLEY,CA,COSMETOLOGY AND BARBER SCHOOLS
SOUTHERN ARKANSAS UNIVERSITY TECH,CAMDEN,AR,JUNIOR COLLEGES
ALLIANT INTERNATIONAL UNIVERSITY-SAN DIEGO,SAN DIEGO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF CALIFORNIA-DAVIS,DAVIS,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GEORGIA STATE UNIVERSITY,ATLANTA,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT,EL CAJON,CA,EDUCATIONAL SUPPORT SERVICES
INTERNATIONAL SALON AND SPA ACADEMY,COLORADO SPRINGS,CO,COSMETOLOGY AND BARBER SCHOOLS
